ID,Type,Name,Price,Link,Primary Color,Color Label
SP001,Shirt,Relaxed Fit Shirt,725.000 VND,Shirt/SP001.jpg,Black,"Black, White"
SP002,Shirt,Henley Shirt,210.000 VND,Shirt/SP002.jpg,Navy Blue,"Navy Blue, White"
SP003,Shirt,Oversized Flannel Shirt,630.000 VND,Shirt/SP003.jpg,Olive Green,"Olive Green, Black"
SP004,Shirt,Henley Shirt,150.000 VND,Shirt/SP004.jpg,Blush Pink,Blush Pink
SP005,Shirt,Polo Shirt,185.000 VND,Shirt/SP005.jpg,Cream,Cream
SP006,Shirt,Mock Neck Shirt,475.000 VND,Shirt/SP006.jpg,Charcoal Navy,Charcoal Navy
SP007,Shirt,Oversized Flannel Shirt,465.000 VND,Shirt/SP007.jpg,Dark Brown,Dark Brown
SP008,Shirt,Mock Neck Shirt,245.000 VND,Shirt/SP008.jpg,Black,Black
SP009,Shirt,Hawaiian Print Shirt,760.000 VND,Shirt/SP009.jpg,Navy Blue,"Navy Blue, Gold"
SP010,Shirt,Denim Shirt,400.000 VND,Shirt/SP010.jpg,Dark Brown,"Dark Brown, Black"
SP011,Shirt,Oversized Flannel Shirt,545.000 VND,Shirt/SP011.jpg,Black,"Black, Gray"
SP012,Shirt,Oversized Flannel Shirt,615.000 VND,Shirt/SP012.jpg,Beige,"Beige, Black"
SP013,Shirt,Mandarin Collar Shirt,240.000 VND,Shirt/SP013.jpg,Burgundy,"Burgundy, White"
SP014,Shirt,Classic Oxford Shirt,300.000 VND,Shirt/SP014.jpg,White,"White, Black"
SP015,Shirt,Mock Neck Shirt,240.000 VND,Shirt/SP015.jpg,Black,"Black, Blue"
SP016,Shirt,Graphic Tee Shirt,495.000 VND,Shirt/SP016.jpg,Beige,"Beige, White"
SP017,Shirt,Chambray Shirt,305.000 VND,Shirt/SP017.jpg,Beige,"Beige, White"
SP018,Shirt,Utility Shirt,495.000 VND,Shirt/SP018.jpg,White,"White, Black"
SP019,Shirt,Mandarin Collar Shirt,305.000 VND,Shirt/SP019.jpg,Light Blue,"Light Blue, White"
SP020,Shirt,Utility Shirt,485.000 VND,Shirt/SP020.jpg,Black,"Black, White"
SP021,Shirt,Hawaiian Print Shirt,485.000 VND,Shirt/SP021.jpg,Light Blue,"Light Blue, White"
SP022,Shirt,Graphic Tee Shirt,790.000 VND,Shirt/SP022.jpg,White,"White, Pink"
SP023,Shirt,Graphic Tee Shirt,520.000 VND,Shirt/SP023.jpg,Cream,"Cream, Light Blue"
